bits,tdi,alpha,bin_lo,bin_hi,n_pixels,mean_signal_dn,pred_sigma,emp_sigma,ratio
msb,64,1.0,64.0,128.0,2207896,85.98589324951172,1.3684687614440918,1.3570802211761475,0.9916778802871704
msb,64,1.0,128.0,256.0,259403,137.9373321533203,1.5667188167572021,1.5526468753814697,0.9910182356834412
msb,128,0.1,0.0,1.0,2045318,0.4751651883125305,0.9507966041564941,0.9428315162658691,0.9916227459907532
msb,128,0.1,1.0,2.0,783590,1.4293246269226074,0.9570922255516052,0.9492251873016357,0.9917802810668945
msb,128,0.1,2.0,4.0,1208662,2.892086982727051,0.9655757546424866,0.957958459854126,0.9921111464500427
msb,128,0.1,4.0,8.0,1046834,5.45562219619751,0.9756320118904114,0.9672048687934875,0.9913623929023743
msb,128,0.1,8.0,16.0,157437,9.414289474487305,0.9914120435714722,0.9823453426361084,0.9908547401428223
msb,128,0.1,16.0,32.0,1039,17.789894104003906,1.0303102731704712,1.0272760391235352,0.9970550537109375
msb,128,0.3,0.0,1.0,556089,0.8294277191162109,0.950180172920227,0.94195556640625,0.991344153881073
msb,128,0.3,1.0,2.0,1117087,1.413994312286377,0.9549207091331482,0.9466550350189209,0.991344153881073
msb,128,0.3,2.0,4.0,709471,2.8654847145080566,0.966758131980896,0.9585583209991455,0.9915182590484619
msb,128,0.3,4.0,8.0,913716,5.932019233703613,0.9819316267967224,0.9735572338104248,0.991471529006958
msb,128,0.3,8.0,16.0,1292102,11.508526802062988,1.0063048601150513,0.997747004032135,0.9914957880973816
msb,128,0.3,16.0,32.0,628163,20.818334579467773,1.0487090349197388,1.039836049079895,0.9915391206741333
msb,128,0.3,32.0,64.0,26225,36.39182662963867,1.1201332807540894,1.1108399629592896,0.9917033910751343
msb,128,1.0,0.0,1.0,2570,0.0,1.1021181344985962,1.095912218093872,0.9943690896034241
msb,128,1.0,1.0,2.0,3248,1.0,1.0292561054229736,1.0200190544128418,0.9910255074501038
msb,128,1.0,2.0,4.0,550271,2.788088083267212,0.9588993191719055,0.9507235288619995,0.9914737939834595
msb,128,1.0,4.0,8.0,1276396,4.998719215393066,0.9734655022621155,0.9652157425880432,0.9915253520011902
msb,128,1.0,8.0,16.0,704775,11.213435173034668,1.007208228111267,0.998659610748291,0.9915125370025635
msb,128,1.0,16.0,32.0,1068682,23.200777053833008,1.065278172492981,1.0561012029647827,0.9913854002952576
msb,128,1.0,32.0,64.0,1241234,44.83241271972656,1.1619219779968262,1.1520814895629883,0.9915308356285095
msb,128,1.0,64.0,128.0,389783,79.19339752197266,1.3081095218658447,1.2969889640808105,0.9914987683296204
msb,128,1.0,128.0,256.0,5921,145.45042419433594,1.5738317966461182,1.5640385150909424,0.9937774538993835
lsb,64,0.1,0.0,1.0,512,0.0,3.8996028900146484,3.9085068702697754,1.0022833347320557
lsb,64,0.1,2.0,4.0,2163,3.385298252105713,3.8964076042175293,3.8707306385040283,0.9934101104736328
lsb,64,0.1,4.0,8.0,496700,7.440496444702148,3.9319450855255127,3.8990468978881836,0.9916331171989441
lsb,64,0.1,8.0,16.0,4722951,9.543354034423828,3.9406943321228027,3.9072787761688232,0.9915204048156738
lsb,64,0.1,16.0,32.0,20554,17.843223571777344,4.003353118896484,3.965780019760132,0.9906145930290222
lsb,64,0.3,0.0,1.0,512,0.0,3.8996028900146484,3.8735849857330322,0.9933280348777771
lsb,64,0.3,8.0,16.0,10060,13.586004257202148,3.9531965255737305,3.9188718795776367,0.9913172721862793
lsb,64,0.3,16.0,32.0,4439828,26.836984634399414,4.02459716796875,3.990849733352661,0.9916146993637085
lsb,64,0.3,32.0,64.0,791148,35.4613151550293,4.069660186767578,4.0340704917907715,0.9912548661231995
lsb,64,0.3,64.0,128.0,1203,69.21746063232422,4.2550787925720215,4.210936546325684,0.9896259903907776
lsb,64,1.0,0.0,1.0,512,0.0,3.8996028900146484,3.8285670280456543,0.9817838072776794
lsb,64,1.0,16.0,32.0,605,28.48264503479004,4.0128936767578125,4.004020690917969,0.9977889060974121
