bits,tdi,alpha,product_id,row0,col0,mean_clean_dn,mean_dim_dn,pred_sigma_mean,emp_sigma_mean,ratio
msb,64,0.1,ch2_ohr_nrp_20250612T2229094979_d_img_d18,75008,1024,134.11105346679688,13.41110610961914,1.0335222482681274,1.0246024131774902,0.9913694858551025
msb,64,0.3,ch2_ohr_nrp_20250612T2229094979_d_img_d18,75008,1024,134.11105346679688,40.233314514160156,1.1573443412780762,1.1475439071655273,0.9915319681167603
msb,64,1.0,ch2_ohr_nrp_20250612T2229094979_d_img_d18,75008,1024,134.11105346679688,134.11105346679688,1.5460258722305298,1.5334619283676147,0.9918733835220337
msb,64,0.1,ch2_ohr_nrp_20260331T1105235288_d_img_d18,36096,5120,9.304473876953125,0.9304473996162415,0.9689209461212158,0.9623031616210938,0.9931699633598328
msb,64,0.3,ch2_ohr_nrp_20260331T1105235288_d_img_d18,36096,5120,9.304473876953125,2.7913424968719482,0.9781286716461182,0.9692144393920898,0.9908864498138428
msb,64,1.0,ch2_ohr_nrp_20260331T1105235288_d_img_d18,36096,5120,9.304473876953125,9.304473876953125,1.0098484754562378,1.0007258653640747,0.9909663796424866
msb,64,0.1,ch2_ohr_nrp_20260330T2317474369_d_img_d18,61184,5632,5.7310638427734375,0.5731064081192017,0.9729957580566406,0.9638850688934326,0.9906364679336548
msb,64,0.3,ch2_ohr_nrp_20260330T2317474369_d_img_d18,61184,5632,5.7310638427734375,1.719319224357605,0.9786083698272705,0.9696220755577087,0.9908172488212585
msb,64,1.0,ch2_ohr_nrp_20260330T2317474369_d_img_d18,61184,5632,5.7310638427734375,5.7310638427734375,0.9977431893348694,0.9890091419219971,0.991246223449707
msb,64,0.1,ch2_ohr_nrp_20240316T0457443193_d_img_d18,60416,8960,47.35661315917969,4.735661506652832,0.9919945001602173,0.9843909740447998,0.9923351407051086
msb,64,0.3,ch2_ohr_nrp_20240316T0457443193_d_img_d18,60416,8960,47.35661315917969,14.206984519958496,1.0376056432724,1.0284446477890015,0.9911710023880005
msb,64,1.0,ch2_ohr_nrp_20240316T0457443193_d_img_d18,60416,8960,47.35661315917969,47.35661315917969,1.1885044574737549,1.1783772706985474,0.9914790391921997
msb,64,0.1,ch2_ohr_nrp_20250612T2031048828_d_img_d18,43520,7936,105.74984741210938,10.574984550476074,1.013788104057312,1.0060269832611084,0.9923444390296936
msb,64,0.3,ch2_ohr_nrp_20250612T2031048828_d_img_d18,43520,7936,105.74984741210938,31.724956512451172,1.113173246383667,1.1052615642547607,0.9928926825523376
msb,64,1.0,ch2_ohr_nrp_20250612T2031048828_d_img_d18,43520,7936,105.74984741210938,105.74984741210938,1.429050326347351,1.4167933464050293,0.9914230108261108
msb,64,0.1,ch2_ohr_nrp_20210402T0546284043_d_img_d18,39936,768,26.3026123046875,2.630261182785034,0.9801168441772461,0.9714401364326477,0.9911472797393799
msb,64,0.3,ch2_ohr_nrp_20210402T0546284043_d_img_d18,39936,768,26.3026123046875,7.890783309936523,1.005784511566162,0.9981411099433899,0.992400586605072
msb,64,1.0,ch2_ohr_nrp_20210402T0546284043_d_img_d18,39936,768,26.3026123046875,26.3026123046875,1.0923528671264648,1.0839964151382446,0.9923500418663025
msb,64,0.1,ch2_ohr_nrp_20231004T0406038822_d_img_d18,17920,10496,42.224395751953125,4.222439765930176,0.9950329065322876,0.9861443042755127,0.9910670518875122
msb,64,0.3,ch2_ohr_nrp_20231004T0406038822_d_img_d18,17920,10496,42.224395751953125,12.667319297790527,1.035649061203003,1.0274510383605957,0.9920841455459595
msb,64,1.0,ch2_ohr_nrp_20231004T0406038822_d_img_d18,17920,10496,42.224395751953125,42.224395751953125,1.1708451509475708,1.1614776849746704,0.9919993877410889
msb,64,0.1,ch2_ohr_nrp_20231004T0406038822_d_img_d18,48128,9984,38.416351318359375,3.84163498878479,0.9922845363616943,0.9831112027168274,0.9907553195953369
msb,64,0.3,ch2_ohr_nrp_20231004T0406038822_d_img_d18,48128,9984,38.416351318359375,11.524906158447266,1.0292823314666748,1.020963191986084,0.9919175505638123
msb,64,1.0,ch2_ohr_nrp_20231004T0406038822_d_img_d18,48128,9984,38.416351318359375,38.416351318359375,1.1526222229003906,1.1433786153793335,0.9919803738594055
msb,64,0.1,ch2_ohr_nrp_20250516T1145499313_d_img_d18,3328,1024,87.60212707519531,8.760212898254395,1.0111498832702637,1.001052975654602,0.9900144338607788
msb,64,0.3,ch2_ohr_nrp_20250516T1145499313_d_img_d18,3328,1024,87.60212707519531,26.280637741088867,1.0939342975616455,1.0841121673583984,0.9910212755203247
msb,64,1.0,ch2_ohr_nrp_20250516T1145499313_d_img_d18,3328,1024,87.60212707519531,87.60212707519531,1.360018014907837,1.3486213684082031,0.9916202425956726
msb,64,0.1,ch2_ohr_nrp_20250516T1342347288_d_img_d18,5888,6912,74.556884765625,7.4556884765625,1.0213563442230225,1.0109434127807617,0.9898048043251038
msb,64,0.3,ch2_ohr_nrp_20250516T1342347288_d_img_d18,5888,6912,74.556884765625,22.3670654296875,1.0911355018615723,1.0811225175857544,0.9908233284950256
msb,64,1.0,ch2_ohr_nrp_20250516T1342347288_d_img_d18,5888,6912,74.556884765625,74.556884765625,1.3181796073913574,1.306758165359497,0.9913354516029358
msb,64,0.1,ch2_ohr_nrp_20231004T0406038822_d_img_d18,5120,8192,84.20742797851562,8.420742988586426,1.0540827512741089,1.046146273612976,0.9924707412719727
msb,64,0.3,ch2_ohr_nrp_20231004T0406038822_d_img_d18,5120,8192,84.20742797851562,25.262229919433594,1.1312460899353027,1.1238269805908203,0.993441641330719
msb,64,1.0,ch2_ohr_nrp_20231004T0406038822_d_img_d18,5120,8192,84.20742797851562,84.20742797851562,1.3811168670654297,1.3718547821044922,0.9932937622070312
msb,64,0.1,ch2_ohr_nrp_20220914T1033119094_d_img_d32,2816,5632,18.82073974609375,1.8820738792419434,0.9794447422027588,0.970873236656189,0.991248607635498
msb,64,0.3,ch2_ohr_nrp_20220914T1033119094_d_img_d32,2816,5632,18.82073974609375,5.646222114562988,0.9977409839630127,0.9876110553741455,0.9898471236228943
msb,64,1.0,ch2_ohr_nrp_20220914T1033119094_d_img_d32,2816,5632,18.82073974609375,18.82073974609375,1.0594698190689087,1.0495424270629883,0.9906298518180847
